Test,pH,OH,O2,k,DO
pH,5.99,9.77E-09,0.000270938,0.005,8.67
pH,6.31,2.04E-08,0.000260625,0.004,8.34
pH,6.46,2.88E-08,0.000270938,0.014,8.67
pH,6.54,3.47E-08,0.000260625,0.006,8.34
pH,6.82,6.61E-08,0.000260625,0.027,8.34
pH,6.96,9.12E-08,0.000270938,0.116,8.67
pH,7.2,1.58E-07,0.000260625,0.115,8.34
pH,7.66,4.57E-07,0.000270938,0.327,8.67
pH,7.75,5.62E-07,0.000260625,0.451,8.34
pH,7.96,9.12E-07,0.000260625,0.821,8.34
pH,8.06,1.15E-06,0.000260625,1.24,8.34
DO,6.97,9.33E-08,1.47E-05,0.015,0.47
DO,6.94,8.71E-08,0.000028125,0.008,0.9
DO,7.04,1.10E-07,0.000029375,0.035,0.94
DO,6.9,7.94E-08,5.09E-05,0.03,1.63
DO,6.89,7.76E-08,0.00007,0.036,2.24
DO,6.95,8.91E-08,0.000078125,0.064,2.5
DO,6.84,6.92E-08,9.47E-05,0.057,3.03
DO,6.83,6.76E-08,0.000149063,0.076,4.77
