Date,Test,Time,Percent.Oxidation,Phage,Dilution,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Concentration,Log.R,,,,,,,,,,,
5/24/2017,time,0,0,MS2,6,23,25,18,15,27,44,21,18,21,12,2.24E+07,0,,,,,,,,,,,
5/24/2017,time,0.5,0.203389831,MS2,6,14,8,20,24,17,35,17,36,15,22,2.08E+07,0.032184683,,,,,,,,,,,
5/24/2017,time,10,0.449152542,MS2,6,8,9,9,8,5,9,10,16,7,11,9.20E+06,0.386460191,,,,,,,,,,,
5/24/2017,time,20,0.737288136,MS2,6,9,3,7,13,8,5,4,4,7,11,7.10E+06,0.49898967,,,,,,,,,,,
5/24/2017,time,30,0.877118644,MS2,5,27,36,58,38,63,31,25,36,28,37,3.79E+06,0.771608808,,,,,,,,,,,
5/24/2017,time,60,0.987288136,MS2,5,26,35,32,24,33,38,42,29,35,29,3.23E+06,0.841045496,,,,,,,,,,,
5/24/2017,time,90,0.991525424,MS2,5,23,41,36,13,28,38,18,21,31,32,2.81E+06,0.901541698,,,,,,,,,,,
5/24/2017,time,120,0.983050847,MS2,5,28,37,26,30,26,29,28,22,44,31,3.01E+06,0.871681523,,,,,,,,,,,
5/24/2017,time,0,0,P22,6,41,40,32,43,85,33,52,32,35,37,4.30E+07,0,,,,,,,,,,,
5/24/2017,time,0.5,0.203389831,P22,6,5,7,8,10,11,7,5,10,12,13,8.80E+06,0.688985783,,,,,,,,,,,
5/24/2017,time,10,0.449152542,P22,2,37,28,29,49,53,41,49,75,48,45,4.54E+03,3.976412603,,,,,,,,,,,
5/24/2017,time,20,0.737288136,P22,2,4,5,2,4,2,5,5,3,2,7,3.90E+02,5.042403849,,,,,,,,,,,
5/24/2017,time,30,0.877118644,P22,2,1,1,1,1,2,1,1,1,1,1,1.10E+02,5.59207577,,,,,,,,,,,
5/24/2017,time,60,0.987288136,P22,2,3,3,5,4,1,2,2,4,6,2,3.20E+02,5.128318477,,,,,,,,,,,
5/24/2017,time,90,0.991525424,P22,2,7,13,12,8,6,4,4,3,11,11,7.90E+02,4.735841364,,,,,,,,,,,
5/24/2017,time,120,0.983050847,P22,2,11,3,6,8,8,3,4,2,5,8,5.80E+02,4.870040462,,,,,,,,,,,
5/23/2017,time,0,0,MS2,6,61,36,43,23,39,42,34,38,27,35,3.78E+07,0,,,,,,,,,,,
5/23/2017,time,0.5,0.232673267,MS2,6,12,17,20,38,20,13,12,21,20,14,1.87E+07,0.305650193,,,,,,,,,,,
5/23/2017,time,10,0.485148515,MS2,6,6,7,15,16,9,16,10,13,12,20,1.24E+07,0.484070115,,,,,,,,,,,
5/23/2017,time,20,0.678217822,MS2,5,46,52,59,64,71,78,89,89,82,68,6.98E+06,0.733636377,,,,,,,,,,,
5/23/2017,time,30,0.782178218,MS2,5,45,42,49,57,36,55,43,51,53,57,4.88E+06,0.889071978,,,,,,,,,,,
5/23/2017,time,60,0.975247525,MS2,5,29,31,38,27,42,26,31,30,43,36,3.33E+06,1.055047566,,,,,,,,,,,
5/23/2017,time,90,0.99009901,MS2,5,28,14,12,20,16,24,26,11,22,23,1.96E+06,1.285235728,,,,,,,,,,,
5/23/2017,time,0,0,P22,6,36,35,30,28,32,41,23,29,22,31,3.07E+07,0,,,,,,,,,,,
5/23/2017,time,0.5,0.232673267,P22,4,33,28,28,34,39,32,29,41,55,43,3.62E+05,1.928429805,,,,,,,,,,,
5/23/2017,time,10,0.485148515,P22,3,15,12,19,15,16,8,17,9,9,7,1.27E+04,3.383334655,,,,,,,,,,,
5/23/2017,time,20,0.678217822,P22,2,16,21,19,22,20,21,21,29,18,28,2.15E+03,4.154699916,,,,,,,,,,,
5/23/2017,time,30,0.782178218,P22,2,5,4,7,3,5,6,12,12,8,11,7.30E+02,4.623815515,,,,,,,,,,,
5/23/2017,time,60,0.975247525,P22,2,9,6,9,12,15,8,9,9,7,5,8.90E+02,4.537748369,,,,,,,,,,,
5/23/2017,time,90,0.99009901,P22,2,37,44,27,30,40,30,29,35,49,44,3.65E+03,3.924845511,,,,,,,,,,,
5/18/2017,time,0,0,MS2,7,6,3,10,4,2,6,9,6,4,5,5.50E+07,0,,,,,,,,,,,
5/18/2017,time,0.5,0.321782178,MS2,6,45,38,33,42,31,29,37,35,39,47,3.76E+07,0.165174845,,,,,,,,,,,
5/18/2017,time,5,0.420792079,MS2,6,24,18,21,20,20,17,25,13,23,28,2.09E+07,0.420216403,,,,,,,,,,,
5/18/2017,time,15,0.787128713,MS2,6,9,14,15,14,15,11,14,15,13,16,1.36E+07,0.606823781,,,,,,,,,,,
5/18/2017,time,30,0.881188119,MS2,6,12,11,17,13,12,11,8,9,9,5,1.07E+07,0.710978912,,,,,,,,,,,
5/18/2017,time,60,0.995049505,MS2,5,33,29,31,24,22,27,22,30,19,26,2.63E+06,1.320406941,,,,,,,,,,,
5/18/2017,time,0,0,P22,7,16,14,12,11,8,14,11,18,12,11,1.27E+08,0,,,,,,,,,,,
5/18/2017,time,0.5,0.321782178,P22,5,37,46,45,43,57,49,52,56,59,44,4.88E+06,1.415383899,,,,,,,,,,,
5/18/2017,time,5,0.420792079,P22,4,26,26,15,12,10,19,26,18,15,23,1.90E+05,2.82505012,,,,,,,,,,,
5/18/2017,time,15,0.787128713,P22,3,23,28,25,25,18,17,35,24,23,23,2.41E+04,3.721786678,,,,,,,,,,,
5/18/2017,time,30,0.881188119,P22,3,6,6,8,11,12,10,9,11,14,9,9.60E+03,4.121532488,,,,,,,,,,,
5/18/2017,time,60,0.995049505,P22,3,16,13,15,13,17,5,11,10,10,9,1.19E+04,4.02825676,,,,,,,,,,,
