Volume,Dose,Total,mple Name,Measurement time,time,Temperature,Z-Average,PdI,%Pd Peak 1,%Pd Peak 2,%Pd Peak 3,Derived Count Rate,Mean Count Rate,Size Runs,Percent In Size Range,Analysis Software Version
0.1,0.26,0.052,mg L 1218 start 1,12:36:11,0.303055556,25,126,0.958,125.6,0,0,100,0,0,,173
0.1,0.26,0.052,mg L 1218 start 1,12:48:42,0.511666667,25,622.1,0.728,259.3,0,0,100,0,0,,173
0.1,0.26,0.052,mg L 1218 1,1:01:27,0.724166667,25,636.4,0.531,346.8,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,11:21:42,0.078333333,25,14,0.024,14.15,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,11:25:20,0.138888889,25,74,1,74.42,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,11:28:17,0.188055556,25,342,0.328,288.8,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,11:32:15,0.254166667,25,433.8,0.357,333.2,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,11:40:59,0.399722222,25,541,0.333,461.8,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,11:46:22,0.489444444,25,621.6,0.437,484,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,11:53:43,0.611944444,25,665.5,0.419,559.3,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,11:58:37,0.693611111,25,784.9,0.482,473,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,12:05:50,0.813888889,25,790.5,0.453,555.4,0,0,100,0,0,,173
0.2,0.455,0.091,mg L 1117 1,12:17:07,1.001944444,25,884.1,0.442,616.9,0,0,100,0,0,,173
0.3,0.725,0.145,mg L 1219 start 1,12:23:59,0.083055556,25,64,1,64.01,0,0,100,0,0,,173
0.3,0.725,0.145,mg L 1219 start 1,12:27:06,0.135,25,92,0.923,91.88,0,0,100,0,0,,173
0.3,0.725,0.145,mg L 1219 start 1,12:41:04,0.367777778,25,657.4,0.576,407.7,0,0,100,0,0,,173
0.3,0.725,0.145,mg L 1219 start 1,12:57:47,0.646388889,25,800.5,0.514,636.3,0,0,100,0,0,,173
0.3,0.725,0.145,mg L 1,1:15:32,0.942222222,25,1008,0.479,697,0,0,100,0,0,,173
0.4,1.025,0.205,mg L 1316 start 1,1:23:21,0.1225,25,312.5,0.248,277.5,0,0,100,0,0,,173
0.4,1.025,0.205,mg L  1,1:29:27,0.224166667,25,460.7,0.249,441.9,0,0,100,0,0,,173
0.4,1.025,0.205,mg L 1,1:40:16,0.404444444,25,663.6,0.388,511.3,0,0,100,0,0,,173
0.4,1.025,0.205,mg L 1,1:43:44,0.462222222,25,678.9,0.334,620.1,0,0,100,0,0,,173
0.4,1.025,0.205,mg L 1,2:01:35,0.759722222,25,956.1,0.352,770.1,0,0,100,0,0,,173
0.5,1.205,0.241,5 mg L 1033 start 1,10:45:29,0.208055556,25,437.5,0.184,39.1,0,0,1069.1,300.4,13,100,7.11
0.5,1.205,0.241,5 mg L 1033 start 1,10:49:34,0.276111111,25,534.9,0.205,35.5,6.1,0,1230.3,345.7,13,100,7.11
0.5,1.205,0.241,5 mg L 1033 start 1,10:53:01,0.333611111,25,601.6,0.233,30.8,0,0,1433.4,402.8,12,100,7.11
0.5,1.205,0.241,5 mg L 1033 start 1,10:57:34,0.409444444,25,776,0.282,33.6,8,0,1835.5,203.7,14,100,7.11
0.5,1.205,0.241,5 mg L 1033 start 1,11:10:41,0.628055556,25,898.8,0.327,24.3,0,0,1572.3,441.8,12,100,7.11
0.5,1.205,0.241,5 mg L 1033 start 1,11:14:21,0.689166667,25,960.5,0.441,24.6,0,0,1551.6,436,12,100,7.11
0.8,2.19,0.438,8 mg L 1117 start 1,11:20:56,0.065555556,25,233.4,0.251,19.3,0,0,735.9,735.9,13,100,7.11
0.8,2.19,0.438,8 mg L 1117 start 1,11:24:37,0.126944444,25,425.2,0.167,32.8,0,0,2423.7,269,14,100,7.11
0.8,2.19,0.438,8 mg L 1117 start 1,11:27:48,0.18,25,566.3,0.197,28.9,0,0,3216.4,357,12,100,7.11
0.8,2.19,0.438,8 mg L 1117 start 1,11:30:57,0.2325,25,682,0.214,36.7,0,0,3495.3,388,12,100,7.11
0.8,2.19,0.438,8 mg L 1117 start 1,11:34:16,0.287777778,25,778.2,0.271,36.4,5.9,0,3507.7,389.4,12,100,7.11
0.8,2.19,0.438,8 mg L 1117 start 1,11:50:02,0.550555556,25,1151,0.45,23.9,0,0,3521.5,390.9,12,100,7.11
0.8,2.19,0.438,8 mg L 1117 start 1,11:54:03,0.6175,25,1227,0.301,31.3,5.9,0,3658.4,406.1,12,100,7.11
0.8,2.19,0.438,8 mg L 1117 start 1,12:01:50,0.747222222,25,1394,0.544,22.9,0,0,3517.1,390.4,12,100,7.11
